TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_DURING_WEEKEND,TX_DURING_NIGHT
35,2023-11-18 03:21:54,249,94,35.61,12114,0,0,0,1,1
36,2023-11-18 03:22:53,81,825,83.99,12173,0,0,0,1,1
37,2023-11-18 03:25:24,461,837,52.19,12324,0,0,0,1,1
38,2023-11-18 03:37:49,261,405,118.23,13069,0,0,0,1,1
39,2023-11-18 03:40:23,354,161,26.61,13223,0,0,0,1,1
40,2023-11-18 03:41:00,67,570,125.0,13260,0,1,1,1,1
41,2023-11-18 03:41:32,454,676,21.37,13292,0,0,0,1,1
42,2023-11-18 03:42:06,98,374,1.71,13326,0,0,0,1,1
43,2023-11-18 03:44:19,111,508,63.71,13459,0,0,0,1,1
44,2023-11-18 03:46:29,380,539,73.0,13589,0,0,0,1,1
45,2023-11-18 03:49:27,423,595,15.74,13767,0,0,0,1,1
46,2023-11-18 03:51:40,204,577,101.18,13900,0,0,0,1,1
47,2023-11-18 03:56:21,200,7,85.63,14181,0,0,0,1,1
48,2023-11-18 03:56:36,356,736,34.76,14196,0,0,0,1,1
49,2023-11-18 03:58:06,284,794,39.33,14286,0,0,0,1,1
50,2023-11-18 03:59:09,395,519,45.94,14349,0,0,0,1,1
51,2023-11-18 03:59:19,161,440,76.2,14359,0,0,0,1,1
52,2023-11-18 04:00:12,38,557,11.13,14412,0,0,0,1,1
53,2023-11-18 04:00:50,495,56,43.42,14450,0,0,0,1,1
54,2023-11-18 04:00:55,440,613,13.16,14455,0,0,0,1,1
55,2023-11-18 04:01:52,345,641,113.14,14512,0,0,0,1,1
56,2023-11-18 04:06:08,35,867,65.09,14768,0,0,0,1,1
57,2023-11-18 04:08:36,382,402,5.05,14916,0,0,0,1,1
58,2023-11-18 04:10:20,471,609,5.1,15020,0,0,0,1,1
59,2023-11-18 04:10:58,131,187,46.95,15058,0,0,0,1,1
60,2023-11-18 04:11:30,247,787,10.8,15090,0,0,0,1,1
61,2023-11-18 04:17:03,418,565,110.97,15423,0,0,0,1,1
62,2023-11-18 04:17:19,476,996,41.69,15439,0,0,0,1,1
63,2023-11-18 04:18:34,356,487,124.43,15514,0,1,1,1,1
64,2023-11-18 04:19:34,183,47,64.92,15574,0,0,0,1,1
65,2023-11-18 04:20:48,36,175,16.18,15648,0,0,0,1,1
66,2023-11-18 04:21:55,186,426,53.31,15715,0,0,0,1,1
67,2023-11-18 04:22:03,410,825,80.97,15723,0,0,0,1,1
68,2023-11-18 04:22:37,162,595,54.81,15757,0,0,0,1,1
69,2023-11-18 04:24:01,318,193,61.42,15841,0,0,0,1,1
70,2023-11-18 04:24:09,388,373,22.04,15849,0,0,0,1,1
71,2023-11-18 04:26:13,148,765,42.91,15973,0,0,0,1,1
72,2023-11-18 04:27:51,424,331,4.3,16071,0,0,0,1,1
73,2023-11-18 04:31:00,28,828,84.23,16260,0,0,0,1,1
74,2023-11-18 04:34:01,255,836,67.37,16441,0,0,0,1,1
75,2023-11-18 04:34:54,322,606,41.56,16494,0,0,0,1,1
76,2023-11-18 04:37:03,69,248,60.86,16623,0,0,0,1,1
77,2023-11-18 04:39:10,316,708,80.32,16750,0,0,0,1,1
78,2023-11-18 04:40:02,120,503,23.42,16802,0,0,0,1,1
79,2023-11-18 04:43:00,139,825,70.87,16980,0,0,0,1,1
80,2023-11-18 04:43:14,303,281,55.83,16994,0,0,0,1,1
81,2023-11-18 04:45:06,114,872,27.86,17106,0,0,0,1,1
82,2023-11-18 04:47:00,349,702,129.55,17220,0,1,1,1,1
83,2023-11-18 04:47:24,157,388,14.93,17244,0,0,0,1,1
84,2023-11-18 04:49:17,167,343,24.29,17357,0,0,0,1,1
85,2023-11-18 04:49:26,67,83,72.81,17366,0,0,0,1,1
86,2023-11-18 04:51:07,212,4,58.71,17467,0,0,0,1,1
87,2023-11-18 04:54:55,140,28,116.7,17695,0,0,0,1,1
88,2023-11-18 04:57:04,390,282,10.27,17824,0,0,0,1,1
89,2023-11-18 05:04:21,25,254,11.32,18261,0,0,0,1,1
90,2023-11-18 05:05:03,22,364,19.85,18303,0,0,0,1,1
91,2023-11-18 05:10:17,354,416,9.21,18617,0,0,0,1,1
92,2023-11-18 05:12:10,412,363,31.76,18730,0,0,0,1,1
93,2023-11-18 05:14:01,318,659,151.11,18841,0,1,1,1,1
94,2023-11-18 05:15:50,329,684,48.95,18950,0,0,0,1,1
95,2023-11-18 05:20:20,312,406,67.41,19220,0,0,0,1,1
96,2023-11-18 05:22:02,81,445,107.43,19322,0,0,0,1,1
97,2023-11-18 05:22:31,493,580,3.04,19351,0,0,0,1,1
98,2023-11-18 05:22:46,152,671,20.26,19366,0,0,0,1,1
99,2023-11-18 05:24:21,383,363,40.85,19461,0,0,0,1,1
100,2023-11-18 05:24:27,98,42,1.0,19467,0,0,0,1,1
101,2023-11-18 05:24:52,271,951,13.55,19492,0,0,0,1,1
102,2023-11-18 05:25:26,462,950,20.98,19526,0,0,0,1,1
103,2023-11-18 05:27:57,213,25,183.17,19677,0,1,1,1,1
104,2023-11-18 05:28:34,255,566,52.18,19714,0,0,0,1,1
105,2023-11-18 05:29:59,144,802,71.77,19799,0,0,0,1,1
106,2023-11-18 05:31:21,122,989,52.13,19881,0,0,0,1,1
107,2023-11-18 05:34:23,4,614,92.78,20063,0,0,0,1,1
108,2023-11-18 05:35:24,488,46,21.67,20124,0,0,0,1,1
109,2023-11-18 05:35:26,155,594,63.52,20126,0,0,0,1,1
110,2023-11-18 05:36:35,64,913,202.06,20195,0,1,1,1,1
111,2023-11-18 05:37:16,437,231,95.42,20236,0,0,0,1,1
112,2023-11-18 05:37:44,477,527,15.14,20264,0,0,0,1,1
113,2023-11-18 05:38:09,81,825,74.98,20289,0,0,0,1,1
114,2023-11-18 05:38:56,181,589,27.11,20336,0,0,0,1,1
115,2023-11-18 05:39:05,452,485,67.81,20345,0,0,0,1,1
116,2023-11-18 05:39:13,134,144,48.95,20353,0,0,0,1,1
117,2023-11-18 05:39:28,188,463,53.29,20368,0,0,0,1,1
118,2023-11-18 05:42:54,183,47,71.08,20574,0,0,0,1,1
119,2023-11-18 05:44:42,333,868,18.6,20682,0,0,0,1,1
120,2023-11-18 05:44:48,301,830,76.03,20688,0,0,0,1,1
121,2023-11-18 05:46:20,497,672,20.09,20780,0,0,0,1,1
122,2023-11-18 05:48:31,206,380,30.82,20911,0,0,0,1,1
123,2023-11-18 05:48:39,400,316,26.82,20919,0,0,0,1,1
124,2023-11-18 05:51:21,1,936,8.04,21081,0,0,0,1,1
125,2023-11-18 05:52:07,134,528,69.6,21127,0,0,0,1,1
126,2023-11-18 05:52:41,447,916,106.35,21161,0,0,0,1,1
127,2023-11-18 05:54:41,356,736,60.93,21281,0,0,0,1,1
128,2023-11-18 05:56:18,186,729,45.49,21378,0,0,0,1,1
129,2023-11-18 05:57:53,332,999,29.44,21473,0,0,0,1,1
130,2023-11-18 05:58:33,349,672,106.9,21513,0,0,0,1,1
131,2023-11-18 05:58:56,302,947,9.51,21536,0,0,0,1,1
132,2023-11-18 05:59:48,83,7,81.39,21588,0,0,0,1,1
133,2023-11-18 06:03:34,467,989,141.51,21814,0,1,1,1,1
134,2023-11-18 06:04:32,283,38,80.67,21872,0,0,0,1,1
135,2023-11-18 06:05:30,369,605,40.76,21930,0,0,0,1,1
136,2023-11-18 06:05:50,369,258,75.23,21950,0,0,0,1,1
137,2023-11-18 06:07:01,428,614,18.17,22021,0,0,0,1,1
138,2023-11-18 06:09:35,134,29,61.88,22175,0,0,0,1,1
139,2023-11-18 06:11:21,162,363,27.48,22281,0,0,0,1,1
140,2023-11-18 06:11:25,130,918,8.48,22285,0,0,0,1,1
141,2023-11-18 06:12:17,213,201,77.05,22337,0,0,0,1,1
142,2023-11-18 06:14:07,56,833,91.18,22447,0,0,0,1,1
143,2023-11-18 06:15:10,80,543,13.67,22510,0,0,0,1,1
144,2023-11-18 06:15:46,410,138,54.62,22546,0,0,0,1,1
145,2023-11-18 06:15:53,204,602,91.29,22553,0,0,0,1,1
146,2023-11-18 06:17:09,276,266,54.71,22629,0,0,0,1,1
147,2023-11-18 06:17:41,108,632,60.15,22661,0,0,0,1,1
148,2023-11-18 06:17:42,194,889,6.66,22662,0,0,0,1,1
149,2023-11-18 06:17:45,209,218,49.82,22665,0,0,0,1,1
150,2023-11-18 06:24:01,209,237,1.73,23041,0,0,0,1,1
151,2023-11-18 06:24:11,423,517,18.33,23051,0,0,0,1,1
152,2023-11-18 06:24:15,139,138,37.24,23055,0,0,0,1,1
153,2023-11-18 06:24:17,376,428,133.32,23057,0,1,1,1,1
154,2023-11-18 06:28:24,444,395,8.45,23304,0,0,0,1,1
155,2023-11-18 06:28:58,376,428,128.74,23338,0,1,1,1,1
156,2023-11-18 06:30:33,149,102,63.51,23433,0,0,0,1,1
157,2023-11-18 06:30:52,226,593,25.85,23452,0,0,0,1,1
158,2023-11-18 06:31:20,472,632,48.56,23480,0,0,0,1,1
159,2023-11-18 06:31:49,83,884,37.92,23509,0,0,0,1,1
160,2023-11-18 06:33:41,169,303,5.37,23621,0,0,0,1,1
161,2023-11-18 06:35:11,67,570,69.62,23711,0,0,0,1,1
162,2023-11-18 06:37:26,270,471,4.99,23846,0,0,0,1,1
163,2023-11-18 06:37:41,372,135,48.65,23861,0,0,0,1,1
164,2023-11-18 06:37:44,159,210,75.4,23864,0,0,0,1,1
165,2023-11-18 06:42:38,315,374,44.09,24158,0,0,0,1,1
166,2023-11-18 06:43:11,20,565,19.43,24191,0,0,0,1,1
167,2023-11-18 06:44:24,125,565,63.89,24264,0,0,0,1,1
168,2023-11-18 06:45:08,171,172,94.29,24308,0,0,0,1,1
169,2023-11-18 06:45:10,68,901,29.71,24310,0,0,0,1,1
170,2023-11-18 06:45:51,308,420,6.03,24351,0,0,0,1,1
171,2023-11-18 06:46:52,386,656,77.16,24412,0,0,0,1,1
172,2023-11-18 06:48:20,359,849,64.35,24500,0,0,0,1,1
173,2023-11-18 06:49:21,343,237,36.31,24561,0,0,0,1,1
174,2023-11-18 06:50:50,23,973,20.74,24650,0,0,0,1,1
175,2023-11-18 06:52:14,202,682,43.6,24734,0,0,0,1,1
176,2023-11-18 06:52:58,388,373,16.7,24778,0,0,0,1,1
177,2023-11-18 06:53:47,331,775,125.52,24827,0,1,1,1,1
178,2023-11-18 06:54:28,37,337,39.03,24868,0,0,0,1,1
179,2023-11-18 06:55:13,161,408,93.85,24913,0,0,0,1,1
180,2023-11-18 06:55:58,427,760,35.77,24958,0,0,0,1,1
181,2023-11-18 06:57:01,188,100,29.95,25021,0,0,0,1,1
182,2023-11-18 06:57:16,23,310,40.75,25036,0,0,0,1,1
183,2023-11-18 06:58:51,460,337,17.85,25131,0,0,0,1,1
184,2023-11-18 07:00:09,401,940,70.03,25209,0,0,0,1,0
185,2023-11-18 07:00:55,160,721,125.62,25255,0,1,1,1,0
186,2023-11-18 07:01:13,411,179,46.1,25273,0,0,0,1,0
187,2023-11-18 07:02:14,114,567,99.73,25334,0,0,0,1,0
188,2023-11-18 07:02:43,53,829,5.67,25363,0,0,0,1,0
189,2023-11-18 07:06:48,379,501,52.76,25608,0,0,0,1,0
190,2023-11-18 07:09:27,284,20,39.69,25767,0,0,0,1,0
191,2023-11-18 07:12:40,241,808,29.88,25960,0,0,0,1,0
192,2023-11-18 07:12:52,37,54,28.51,25972,0,0,0,1,0
193,2023-11-18 07:14:35,131,474,60.98,26075,0,0,0,1,0
194,2023-11-18 07:14:36,389,269,96.55,26076,0,0,0,1,0
195,2023-11-18 07:19:05,0,996,123.59,26345,0,1,1,1,0
196,2023-11-18 07:19:22,407,921,30.73,26362,0,0,0,1,0
197,2023-11-18 07:19:58,69,964,103.2,26398,0,0,0,1,0
198,2023-11-18 07:22:06,65,662,4.78,26526,0,0,0,1,0
199,2023-11-18 07:22:48,74,531,95.15,26568,0,0,0,1,0
200,2023-11-18 07:24:01,365,645,72.96,26641,0,0,0,1,0
201,2023-11-18 07:24:08,188,463,10.31,26648,0,0,0,1,0
202,2023-11-18 07:24:36,115,754,52.9,26676,0,0,0,1,0
203,2023-11-18 07:26:22,154,29,14.88,26782,0,0,0,1,0
204,2023-11-18 07:26:57,465,595,32.76,26817,0,0,0,1,0
205,2023-11-18 07:27:15,264,877,81.91,26835,0,0,0,1,0
206,2023-11-18 07:27:35,465,218,60.41,26855,0,0,0,1,0
207,2023-11-18 07:28:08,32,88,69.86,26888,0,0,0,1,0
208,2023-11-18 07:30:04,58,221,24.62,27004,0,0,0,1,0
209,2023-11-18 07:30:37,483,894,19.86,27037,0,0,0,1,0
210,2023-11-18 07:32:02,371,456,53.69,27122,0,0,0,1,0
211,2023-11-18 07:32:29,193,620,83.4,27149,0,0,0,1,0
212,2023-11-18 07:32:36,1,242,36.12,27156,0,0,0,1,0
213,2023-11-18 07:32:39,35,228,63.17,27159,0,0,0,1,0
214,2023-11-18 07:32:40,177,694,37.16,27160,0,0,0,1,0
215,2023-11-18 07:34:16,249,874,14.64,27256,0,0,0,1,0
216,2023-11-18 07:35:14,26,632,80.31,27314,0,0,0,1,0
217,2023-11-18 07:35:46,131,405,32.13,27346,0,0,0,1,0
218,2023-11-18 07:35:58,315,374,53.19,27358,0,0,0,1,0
219,2023-11-18 07:36:05,164,718,38.25,27365,0,0,0,1,0
220,2023-11-18 07:36:45,249,467,24.16,27405,0,0,0,1,0
221,2023-11-18 07:37:21,340,227,26.9,27441,0,0,0,1,0
222,2023-11-18 07:37:57,271,553,18.49,27477,0,0,0,1,0
223,2023-11-18 07:39:08,228,827,100.46,27548,0,0,0,1,0
224,2023-11-18 07:39:53,212,446,70.34,27593,0,0,0,1,0
225,2023-11-18 07:40:55,439,721,9.04,27655,0,0,0,1,0
226,2023-11-18 07:42:28,314,674,101.5,27748,0,0,0,1,0
227,2023-11-18 07:43:26,174,82,55.04,27806,0,0,0,1,0
228,2023-11-18 07:44:55,171,881,111.69,27895,0,0,0,1,0
229,2023-11-18 07:47:43,254,693,81.05,28063,0,0,0,1,0
230,2023-11-18 07:48:51,38,93,29.12,28131,0,0,0,1,0
231,2023-11-18 07:51:12,97,478,16.47,28272,0,0,0,1,0
232,2023-11-18 07:57:07,246,777,85.32,28627,0,0,0,1,0
233,2023-11-18 07:57:11,464,475,104.16,28631,0,0,0,1,0
234,2023-11-18 07:58:34,94,945,74.24,28714,0,0,0,1,0
235,2023-11-18 07:58:36,255,93,93.22,28716,0,0,0,1,0
236,2023-11-18 07:58:40,419,723,2.88,28720,0,0,0,1,0
237,2023-11-18 07:58:56,409,664,50.62,28736,0,0,0,1,0
238,2023-11-18 07:59:16,450,234,154.28,28756,0,1,1,1,0
239,2023-11-18 08:00:47,117,366,65.02,28847,0,0,0,1,0
240,2023-11-18 08:00:48,454,676,63.35,28848,0,0,0,1,0
241,2023-11-18 08:02:41,152,496,44.56,28961,0,0,0,1,0
242,2023-11-18 08:04:30,499,306,82.3,29070,0,0,0,1,0
243,2023-11-18 08:05:18,471,785,21.48,29118,0,0,0,1,0
244,2023-11-18 08:05:23,165,486,11.28,29123,0,0,0,1,0
245,2023-11-18 08:06:31,429,691,25.26,29191,0,0,0,1,0
246,2023-11-18 08:06:44,354,106,21.65,29204,0,0,0,1,0
247,2023-11-18 08:06:51,112,960,28.69,29211,0,0,0,1,0
248,2023-11-18 08:08:29,240,636,21.59,29309,0,0,0,1,0
249,2023-11-18 08:09:22,114,692,81.33,29362,0,0,0,1,0
250,2023-11-18 08:09:41,342,267,4.99,29381,0,0,0,1,0
251,2023-11-18 08:10:09,497,401,0.89,29409,0,0,0,1,0
252,2023-11-18 08:11:47,40,701,107.77,29507,0,0,0,1,0
253,2023-11-18 08:12:38,131,551,94.2,29558,0,0,0,1,0
254,2023-11-18 08:12:41,97,739,5.62,29561,0,0,0,1,0
255,2023-11-18 08:13:10,270,198,6.14,29590,0,0,0,1,0
256,2023-11-18 08:15:05,107,291,11.62,29705,0,0,0,1,0
257,2023-11-18 08:15:12,403,412,59.02,29712,0,0,0,1,0
258,2023-11-18 08:18:30,149,446,23.78,29910,0,0,0,1,0
259,2023-11-18 08:18:37,37,54,22.16,29917,0,0,0,1,0
260,2023-11-18 08:19:35,134,996,54.06,29975,0,0,0,1,0
261,2023-11-18 08:23:07,77,872,120.35,30187,0,1,1,1,0
262,2023-11-18 08:24:05,4,614,102.55,30245,0,0,0,1,0
263,2023-11-18 08:24:12,454,734,135.41,30252,0,1,1,1,0
264,2023-11-18 08:26:01,323,773,9.54,30361,0,0,0,1,0
265,2023-11-18 08:26:50,247,77,9.94,30410,0,0,0,1,0
266,2023-11-18 08:27:34,388,373,31.96,30454,0,0,0,1,0
267,2023-11-18 08:28:32,294,319,102.93,30512,0,0,0,1,0
268,2023-11-18 08:29:06,129,420,50.79,30546,0,0,0,1,0
269,2023-11-18 08:29:16,45,607,58.7,30556,0,0,0,1,0
270,2023-11-18 08:29:40,154,241,33.77,30580,0,0,0,1,0
271,2023-11-18 08:30:33,298,854,39.9,30633,0,0,0,1,0
272,2023-11-18 08:32:11,140,28,84.69,30731,0,0,0,1,0
273,2023-11-18 08:33:01,50,984,10.95,30781,0,0,0,1,0
274,2023-11-18 08:33:07,20,565,6.46,30787,0,0,0,1,0
275,2023-11-18 08:34:01,98,627,7.18,30841,0,0,0,1,0
276,2023-11-18 08:34:56,186,729,97.21,30896,0,0,0,1,0
277,2023-11-18 08:35:34,134,241,94.76,30934,0,0,0,1,0
278,2023-11-18 08:36:33,213,25,82.21,30993,0,0,0,1,0
279,2023-11-18 08:37:21,104,82,23.38,31041,0,0,0,1,0
280,2023-11-18 08:37:42,4,372,139.97,31062,0,1,1,1,0
281,2023-11-18 08:38:01,474,776,5.55,31081,0,0,0,1,0
282,2023-11-18 08:38:13,275,625,30.32,31093,0,0,0,1,0
283,2023-11-18 08:38:26,337,378,34.62,31106,0,0,0,1,0
284,2023-11-18 08:38:34,88,626,41.52,31114,0,0,0,1,0
285,2023-11-18 08:39:52,311,600,8.22,31192,0,0,0,1,0
286,2023-11-18 08:40:46,478,487,29.12,31246,0,0,0,1,0
287,2023-11-18 08:41:10,244,667,9.42,31270,0,0,0,1,0
288,2023-11-18 08:41:57,198,541,170.62,31317,0,1,1,1,0
289,2023-11-18 08:42:10,154,583,56.82,31330,0,0,0,1,0
290,2023-11-18 08:42:57,97,751,4.78,31377,0,0,0,1,0
291,2023-11-18 08:43:05,36,385,8.94,31385,0,0,0,1,0
292,2023-11-18 08:43:05,405,3,43.8,31385,0,0,0,1,0
293,2023-11-18 08:43:16,36,385,5.1,31396,0,0,0,1,0
294,2023-11-18 08:44:05,195,152,26.48,31445,0,0,0,1,0
295,2023-11-18 08:45:33,180,58,7.19,31533,0,0,0,1,0
296,2023-11-18 08:46:17,323,293,8.33,31577,0,0,0,1,0
297,2023-11-18 08:47:15,83,884,82.71,31635,0,0,0,1,0
298,2023-11-18 08:47:32,421,904,40.27,31652,0,0,0,1,0
299,2023-11-18 08:47:36,100,247,10.61,31656,0,0,0,1,0
300,2023-11-18 08:47:44,290,407,40.0,31664,0,0,0,1,0
301,2023-11-18 08:48:33,155,354,42.78,31713,0,0,0,1,0
302,2023-11-18 08:48:42,121,163,32.26,31722,0,0,0,1,0
303,2023-11-18 08:52:57,27,525,23.56,31977,0,0,0,1,0
304,2023-11-18 08:53:49,292,114,74.7,32029,0,0,0,1,0
305,2023-11-18 08:55:19,199,862,33.04,32119,0,0,0,1,0
306,2023-11-18 08:58:02,27,380,58.37,32282,0,0,0,1,0
307,2023-11-18 08:59:11,79,46,128.94,32351,0,1,1,1,0
308,2023-11-18 08:59:25,418,754,92.99,32365,0,0,0,1,0
309,2023-11-18 08:59:59,365,645,4.42,32399,0,0,0,1,0
310,2023-11-18 09:01:13,403,652,112.61,32473,0,0,0,1,0
311,2023-11-18 09:01:38,228,453,78.22,32498,0,0,0,1,0
312,2023-11-18 09:01:40,302,947,8.59,32500,0,0,0,1,0
313,2023-11-18 09:07:37,311,209,75.15,32857,0,0,0,1,0
314,2023-11-18 09:08:21,17,530,101.89,32901,0,0,0,1,0
315,2023-11-18 09:09:05,293,891,64.12,32945,0,0,0,1,0
316,2023-11-18 09:13:37,211,402,109.5,33217,0,0,0,1,0
317,2023-11-18 09:13:49,314,214,98.0,33229,0,0,0,1,0
318,2023-11-18 09:13:50,136,929,56.54,33230,0,0,0,1,0
319,2023-11-18 09:14:41,92,513,100.39,33281,0,0,0,1,0
320,2023-11-18 09:16:29,424,557,80.32,33389,0,0,0,1,0
321,2023-11-18 09:17:57,474,18,12.13,33477,0,0,0,1,0
322,2023-11-18 09:18:54,380,974,4.71,33534,0,0,0,1,0
323,2023-11-18 09:19:08,378,8,74.31,33548,0,0,0,1,0
324,2023-11-18 09:20:39,382,305,1.21,33639,0,0,0,1,0
325,2023-11-18 09:20:51,304,106,59.32,33651,0,0,0,1,0
326,2023-11-18 09:21:46,452,485,69.62,33706,0,0,0,1,0
327,2023-11-18 09:21:53,441,948,103.71,33713,0,0,0,1,0
328,2023-11-18 09:23:09,149,102,32.07,33789,0,0,0,1,0
329,2023-11-18 09:23:27,279,676,48.45,33807,0,0,0,1,0
330,2023-11-18 09:24:07,302,947,5.94,33847,0,0,0,1,0
331,2023-11-18 09:27:15,499,701,66.47,34035,0,0,0,1,0
332,2023-11-18 09:28:25,102,729,7.85,34105,0,0,0,1,0
333,2023-11-18 09:28:41,389,791,58.43,34121,0,0,0,1,0
334,2023-11-18 09:29:02,82,565,27.86,34142,0,0,0,1,0
335,2023-11-18 09:30:04,270,214,13.56,34204,0,0,0,1,0
336,2023-11-18 09:30:38,359,749,60.17,34238,0,0,0,1,0
337,2023-11-18 09:31:54,71,555,122.32,34314,0,1,1,1,0
338,2023-11-18 09:33:20,74,634,54.65,34400,0,0,0,1,0
339,2023-11-18 09:33:40,467,747,53.6,34420,0,0,0,1,0
340,2023-11-18 09:34:17,444,395,17.95,34457,0,0,0,1,0
341,2023-11-18 09:34:24,266,27,2.32,34464,0,0,0,1,0
342,2023-11-18 09:34:30,162,595,74.15,34470,0,0,0,1,0
343,2023-11-18 09:35:08,164,322,53.71,34508,0,0,0,1,0
344,2023-11-18 09:35:29,478,192,36.65,34529,0,0,0,1,0
345,2023-11-18 09:35:42,413,990,158.55,34542,0,1,1,1,0
346,2023-11-18 09:37:52,275,348,25.77,34672,0,0,0,1,0
347,2023-11-18 09:38:10,107,965,14.59,34690,0,0,0,1,0
348,2023-11-18 09:40:33,4,372,16.39,34833,0,0,0,1,0
349,2023-11-18 09:41:15,407,921,27.22,34875,0,0,0,1,0
350,2023-11-18 09:43:13,380,599,93.78,34993,0,0,0,1,0
351,2023-11-18 09:43:20,360,212,39.61,35000,0,0,0,1,0
352,2023-11-18 09:43:44,134,528,94.54,35024,0,0,0,1,0
353,2023-11-18 09:45:39,213,25,51.72,35139,0,0,0,1,0
354,2023-11-18 09:45:42,162,363,56.53,35142,0,0,0,1,0
355,2023-11-18 09:46:10,264,499,179.4,35170,0,1,1,1,0
356,2023-11-18 09:46:19,246,747,3.26,35179,0,0,0,1,0
357,2023-11-18 09:47:47,300,562,144.97,35267,0,1,1,1,0
358,2023-11-18 09:48:17,310,180,88.55,35297,0,0,0,1,0
359,2023-11-18 09:48:41,452,956,53.4,35321,0,0,0,1,0
360,2023-11-18 09:49:23,418,565,134.53,35363,0,1,1,1,0
361,2023-11-18 09:50:18,237,458,30.37,35418,0,0,0,1,0
362,2023-11-18 09:53:51,181,589,58.25,35631,0,0,0,1,0
363,2023-11-18 09:55:26,356,176,66.72,35726,0,0,0,1,0
364,2023-11-18 09:55:33,281,456,64.65,35733,0,0,0,1,0
365,2023-11-18 09:56:05,88,115,76.27,35765,0,0,0,1,0
366,2023-11-18 09:58:31,409,664,82.84,35911,0,0,0,1,0
367,2023-11-18 09:58:47,191,810,76.21,35927,0,0,0,1,0
368,2023-11-18 10:00:20,350,690,25.25,36020,0,0,0,1,0
369,2023-11-18 10:00:42,209,218,36.47,36042,0,0,0,1,0
370,2023-11-18 10:01:32,370,466,10.49,36092,0,0,0,1,0
371,2023-11-18 10:01:54,267,35,4.88,36114,0,0,0,1,0
372,2023-11-18 10:02:01,288,977,142.0,36121,0,1,1,1,0
373,2023-11-18 10:06:17,267,35,6.32,36377,0,0,0,1,0
374,2023-11-18 10:07:49,390,583,12.75,36469,0,0,0,1,0
375,2023-11-18 10:08:04,370,639,2.68,36484,0,0,0,1,0
376,2023-11-18 10:08:19,36,175,15.2,36499,0,0,0,1,0
377,2023-11-18 10:10:35,293,891,87.22,36635,0,0,0,1,0
378,2023-11-18 10:11:37,483,949,18.83,36697,0,0,0,1,0
379,2023-11-18 10:12:14,437,26,68.87,36734,0,0,0,1,0
380,2023-11-18 10:12:17,416,86,28.41,36737,0,0,0,1,0
